,K,alpha,k,accuracy,precision,recall
0,10.0,1.0,1.0,0.21,"[0.77777778 0.66666667 0.         0.         0.15384615 0.15384615
 0.16666667 0.125      0.07692308 0.09090909]","[0.63636364 0.6        0.         0.         0.2        0.22222222
 0.11111111 0.1        0.1        0.11111111]"
1,10.0,1.0,2.0,0.22,"[0.63636364 0.72727273 0.08695652 0.         0.17647059 0.
 0.         0.25       0.         0.        ]","[0.63636364 0.8        0.15384615 0.         0.3        0.
 0.         0.2        0.         0.        ]"
2,10.0,1.0,3.0,0.26,"[0.44444444 0.53333333 0.04166667 0.1        0.18181818 0.2
 0.5        0.16666667 0.33333333 0.25      ]","[0.72727273 0.8        0.07692308 0.11111111 0.2        0.11111111
 0.22222222 0.1        0.1        0.11111111]"
3,10.0,1.0,5.0,0.29,"[0.5        0.5        0.15       0.         0.25       0.2
 0.5        0.16666667 0.14285714 0.25      ]","[0.72727273 0.8        0.23076923 0.         0.2        0.22222222
 0.33333333 0.1        0.1        0.11111111]"
4,10.0,1.0,8.0,0.31,"[0.57142857 0.57142857 0.24       0.25       0.25       0.
 0.2        0.33333333 0.         0.25      ]","[0.72727273 0.8        0.46153846 0.22222222 0.2        0.
 0.11111111 0.3        0.         0.11111111]"
5,10.0,1.0,13.0,0.28,"[0.64285714 0.66666667 0.2173913  0.14285714 0.16666667 0.
 0.14285714 0.08333333 0.14285714 0.2       ]","[0.81818182 0.8        0.38461538 0.11111111 0.1        0.
 0.11111111 0.1        0.1        0.11111111]"
6,10.0,1.0,21.0,0.27,"[0.69230769 0.61538462 0.19047619 0.         0.25       0.
 0.2        0.         0.16666667 0.        ]","[0.81818182 0.8        0.30769231 0.         0.3        0.
 0.11111111 0.         0.2        0.        ]"
7,10.0,1.0,34.0,0.25,"[0.69230769 0.61538462 0.18181818 0.         0.06666667 0.
 0.16666667 0.11111111 0.14285714 0.        ]","[0.81818182 0.8        0.30769231 0.         0.1        0.
 0.11111111 0.1        0.1        0.        ]"
8,10.0,1.0,55.0,0.27,"[0.69230769 0.72727273 0.15       0.         0.14285714 0.
 0.25       0.14285714 0.1        0.        ]","[0.81818182 0.8        0.23076923 0.         0.2        0.
 0.22222222 0.2        0.1        0.        ]"
9,10.0,1.0,89.0,0.26,"[0.64285714 0.72727273 0.1        0.         0.125      0.
 0.125      0.11764706 0.2        0.09090909]","[0.81818182 0.8        0.15384615 0.         0.1        0.
 0.11111111 0.2        0.2        0.11111111]"
10,10.0,1.0,144.0,0.28,"[0.69230769 0.61538462 0.18181818 0.         0.21428571 0.
 0.2        0.07692308 0.15384615 0.125     ]","[0.81818182 0.8        0.15384615 0.         0.3        0.
 0.11111111 0.1        0.2        0.22222222]"
11,10.0,1.0,1.0,0.25,"[0.6        0.66666667 0.26086957 0.         0.22222222 0.22222222
 0.         0.28571429 0.15384615 0.28571429]","[0.27272727 0.6        0.46153846 0.         0.2        0.22222222
 0.         0.2        0.2        0.22222222]"
12,10.0,1.0,2.0,0.33,"[0.57142857 0.63636364 0.3        0.25       0.44444444 0.2
 0.         0.25       0.5        0.        ]","[0.36363636 0.7        0.69230769 0.44444444 0.4        0.22222222
 0.         0.1        0.2        0.        ]"
13,10.0,1.0,3.0,0.28,"[0.6        0.5        0.17241379 0.27272727 0.3        0.2
 0.         0.25       0.25       0.        ]","[0.54545455 0.7        0.38461538 0.33333333 0.3        0.22222222
 0.         0.1        0.1        0.        ]"
14,10.0,1.0,5.0,0.25,"[0.54545455 0.58333333 0.17857143 0.         0.25       0.
 0.         0.16666667 0.28571429 0.33333333]","[0.54545455 0.7        0.38461538 0.         0.2        0.
 0.         0.1        0.2        0.22222222]"
15,10.0,1.0,8.0,0.24,"[0.85714286 0.63636364 0.19354839 0.         0.18181818 0.
 0.         0.         0.14285714 0.4       ]","[0.54545455 0.7        0.46153846 0.         0.2        0.
 0.         0.         0.1        0.22222222]"
16,10.0,1.0,13.0,0.26,"[0.75       0.63636364 0.2        0.         0.23076923 0.
 0.         0.2        0.25       0.25      ]","[0.54545455 0.7        0.46153846 0.         0.3        0.
 0.         0.1        0.2        0.11111111]"
17,10.0,1.0,21.0,0.21,"[0.75       0.58333333 0.125      0.09090909 0.06666667 0.
 0.         0.         0.18181818 0.33333333]","[0.54545455 0.7        0.23076923 0.11111111 0.1        0.
 0.         0.         0.2        0.11111111]"
18,10.0,1.0,34.0,0.17,"[0.75       0.58333333 0.08333333 0.         0.         0.
 0.         0.         0.125      0.        ]","[0.54545455 0.7        0.15384615 0.         0.         0.
 0.         0.         0.2        0.        ]"
19,10.0,1.0,55.0,0.23,"[0.71428571 0.7        0.19230769 0.         0.07692308 0.
 0.         0.16666667 0.125      0.5       ]","[0.45454545 0.7        0.38461538 0.         0.1        0.
 0.         0.2        0.2        0.11111111]"
20,10.0,1.0,89.0,0.22,"[0.71428571 0.7        0.2        0.         0.16666667 0.
 0.         0.07692308 0.0625     0.18181818]","[0.45454545 0.7        0.38461538 0.         0.1        0.
 0.         0.1        0.1        0.22222222]"
21,10.0,1.0,144.0,0.21,"[0.71428571 0.58333333 0.15625    0.         0.33333333 0.
 0.         0.         0.06666667 0.07142857]","[0.45454545 0.7        0.38461538 0.         0.2        0.
 0.         0.         0.1        0.11111111]"
22,10.0,1.0,1.0,0.22,"[0.5        0.71428571 0.         0.14285714 0.         0.1
 0.13333333 0.33333333 0.3        0.21428571]","[0.45454545 0.5        0.         0.11111111 0.         0.11111111
 0.22222222 0.2        0.33333333 0.3       ]"
23,10.0,1.0,2.0,0.19,"[0.41176471 0.77777778 0.05263158 0.2        0.0625     0.
 0.         0.         0.33333333 0.        ]","[0.63636364 0.7        0.07692308 0.22222222 0.1        0.
 0.         0.         0.11111111 0.        ]"
24,10.0,1.0,3.0,0.23,"[0.36842105 0.8        0.09090909 0.15384615 0.         0.125
 0.         0.33333333 0.5        0.5       ]","[0.63636364 0.8        0.15384615 0.22222222 0.         0.11111111
 0.         0.1        0.11111111 0.1       ]"
25,10.0,1.0,5.0,0.28,"[0.4        0.61538462 0.25       0.16666667 0.         0.
 0.         0.6        0.5        0.25      ]","[0.72727273 0.8        0.30769231 0.11111111 0.         0.
 0.         0.3        0.22222222 0.2       ]"
26,10.0,1.0,8.0,0.24,"[0.52941176 0.46666667 0.21052632 0.         0.         0.
 0.         0.2        0.5        0.16666667]","[0.81818182 0.7        0.30769231 0.         0.         0.
 0.         0.1        0.22222222 0.1       ]"
27,10.0,1.0,13.0,0.28,"[0.53333333 0.72727273 0.2173913  0.         0.07142857 0.1
 0.         0.22222222 0.33333333 0.33333333]","[0.72727273 0.8        0.38461538 0.         0.1        0.11111111
 0.         0.2        0.22222222 0.1       ]"
28,10.0,1.0,21.0,0.29,"[0.61538462 0.8        0.14285714 0.         0.         0.33333333
 0.         0.375      0.22222222 0.33333333]","[0.72727273 0.8        0.23076923 0.         0.         0.11111111
 0.         0.6        0.22222222 0.1       ]"
29,10.0,1.0,34.0,0.32,"[0.61538462 0.88888889 0.2        0.         0.0625     1.
 0.25       0.3125     0.22222222 0.5       ]","[0.72727273 0.8        0.30769231 0.         0.1        0.11111111
 0.11111111 0.5        0.22222222 0.2       ]"
30,10.0,1.0,55.0,0.36,"[0.66666667 0.875      0.19354839 0.16666667 0.27272727 0.
 0.4        0.33333333 0.         0.36363636]","[0.72727273 0.7        0.46153846 0.11111111 0.3        0.
 0.22222222 0.5        0.         0.4       ]"
31,10.0,1.0,89.0,0.35,"[0.61538462 0.88888889 0.18518519 0.         0.25       0.
 0.25       0.3        0.3        0.26666667]","[0.72727273 0.8        0.38461538 0.         0.3        0.
 0.11111111 0.3        0.33333333 0.4       ]"
32,10.0,1.0,144.0,0.33,"[0.8        0.9        0.19444444 0.         0.10526316 0.
 0.         0.25       0.33333333 0.28571429]","[0.72727273 0.9        0.53846154 0.         0.2        0.
 0.         0.2        0.11111111 0.4       ]"
33,10.0,1.0,1.0,0.33,"[0.63636364 0.77777778 0.2        0.         0.22222222 0.
 0.3        0.44444444 0.3        0.30769231]","[0.7        0.7        0.25       0.         0.18181818 0.
 0.3        0.4        0.33333333 0.4       ]"
34,10.0,1.0,2.0,0.29,"[0.53333333 0.75       0.22727273 0.09090909 0.125      0.
 0.2        0.33333333 0.5        0.        ]","[0.8        0.9        0.41666667 0.11111111 0.18181818 0.
 0.1        0.2        0.11111111 0.        ]"
35,10.0,1.0,3.0,0.3,"[0.5        0.72727273 0.18181818 0.07142857 0.15384615 0.
 0.4        0.6        0.33333333 0.2       ]","[0.8        0.8        0.33333333 0.11111111 0.18181818 0.
 0.2        0.3        0.11111111 0.1       ]"
36,10.0,1.0,5.0,0.3,"[0.53846154 0.8        0.15       0.11111111 0.1        0.2
 0.22222222 0.66666667 0.         0.5       ]","[0.7        0.8        0.25       0.22222222 0.09090909 0.11111111
 0.2        0.4        0.         0.2       ]"
37,10.0,1.0,8.0,0.32,"[0.75       0.72727273 0.13636364 0.07142857 0.         0.16666667
 0.36363636 0.57142857 0.         0.4       ]","[0.9        0.8        0.25       0.11111111 0.         0.11111111
 0.4        0.4        0.         0.2       ]"
38,10.0,1.0,13.0,0.31,"[0.64285714 0.81818182 0.15       0.         0.09090909 0.
 0.28571429 0.3125     0.         0.33333333]","[0.9        0.9        0.25       0.         0.09090909 0.
 0.2        0.5        0.         0.2       ]"
39,10.0,1.0,21.0,0.32,"[0.52631579 0.9        0.23076923 0.1        0.1        0.
 0.25       0.29411765 0.         0.25      ]","[1.         0.9        0.25       0.11111111 0.09090909 0.
 0.1        0.5        0.         0.2       ]"
40,10.0,1.0,34.0,0.3,"[0.5625     0.9        0.11111111 0.11111111 0.08333333 0.
 0.16666667 0.29411765 0.         0.22222222]","[0.9        0.9        0.16666667 0.11111111 0.09090909 0.
 0.1        0.5        0.         0.2       ]"
41,10.0,1.0,55.0,0.33,"[0.58823529 0.9        0.21428571 0.09090909 0.09090909 0.
 0.66666667 0.26315789 0.         0.18181818]","[1.         0.9        0.25       0.11111111 0.09090909 0.
 0.2        0.5        0.         0.2       ]"
42,10.0,1.0,89.0,0.25,"[0.6        0.9        0.08333333 0.09090909 0.05882353 0.
 0.         0.16666667 0.         0.11764706]","[0.9        0.9        0.08333333 0.11111111 0.09090909 0.
 0.         0.2        0.         0.2       ]"
43,10.0,1.0,144.0,0.29,"[0.66666667 0.90909091 0.125      0.13333333 0.05882353 0.
 0.         0.16666667 0.         0.15      ]","[1.         1.         0.08333333 0.22222222 0.09090909 0.
 0.         0.2        0.         0.3       ]"
44,10.0,1.0,1.0,0.25,"[0.625      0.5        0.13333333 0.33333333 0.25       0.125
 0.11111111 0.08333333 0.2        0.14285714]","[0.5        0.7        0.16666667 0.33333333 0.18181818 0.11111111
 0.1        0.1        0.22222222 0.1       ]"
45,10.0,1.0,2.0,0.29,"[0.53333333 0.52941176 0.16666667 0.18181818 0.2        0.25
 0.14285714 0.         0.33333333 0.        ]","[0.8        0.9        0.25       0.22222222 0.27272727 0.22222222
 0.1        0.         0.11111111 0.        ]"
46,10.0,1.0,3.0,0.28,"[0.47058824 0.45       0.19047619 0.2        0.08333333 0.
 0.22222222 0.         0.         0.4       ]","[0.8        0.9        0.33333333 0.22222222 0.09090909 0.
 0.2        0.         0.         0.2       ]"
47,10.0,1.0,5.0,0.28,"[0.57142857 0.58823529 0.11764706 0.14285714 0.11111111 0.
 0.08333333 0.16666667 0.33333333 0.4       ]","[0.8        1.         0.16666667 0.11111111 0.09090909 0.
 0.1        0.2        0.11111111 0.2       ]"
48,10.0,1.0,8.0,0.3,"[0.61538462 0.625      0.25       0.         0.18181818 0.
 0.09090909 0.13333333 0.5        0.5       ]","[0.8        1.         0.41666667 0.         0.18181818 0.
 0.1        0.2        0.11111111 0.1       ]"
49,10.0,1.0,13.0,0.3,"[0.66666667 0.66666667 0.18181818 0.2        0.2        0.
 0.09090909 0.10526316 0.5        0.25      ]","[0.8        1.         0.33333333 0.11111111 0.18181818 0.
 0.1        0.2        0.11111111 0.1       ]"
50,10.0,1.0,21.0,0.33,"[0.61538462 0.625      0.15       0.5        0.22222222 0.5
 0.16666667 0.26666667 0.125      0.33333333]","[0.8        1.         0.25       0.11111111 0.18181818 0.11111111
 0.2        0.4        0.11111111 0.1       ]"
51,10.0,1.0,34.0,0.34,"[0.76923077 0.66666667 0.14285714 0.33333333 0.25       0.
 0.28571429 0.18181818 0.18181818 0.25      ]","[1.         1.         0.33333333 0.11111111 0.09090909 0.
 0.2        0.2        0.22222222 0.2       ]"
52,10.0,1.0,55.0,0.33,"[0.76923077 0.71428571 0.23076923 0.         0.33333333 0.
 0.1        0.2        0.09090909 0.14285714]","[1.         1.         0.5        0.         0.09090909 0.
 0.1        0.3        0.11111111 0.1       ]"
53,10.0,1.0,89.0,0.34,"[0.76923077 0.71428571 0.21875    0.         0.         0.
 0.         0.23076923 0.28571429 0.25      ]","[1.         1.         0.58333333 0.         0.         0.
 0.         0.3        0.22222222 0.2       ]"
54,10.0,1.0,144.0,0.33,"[0.76923077 0.58823529 0.22580645 0.         0.14285714 0.
 0.         0.14285714 0.1        0.25      ]","[1.         1.         0.58333333 0.         0.09090909 0.
 0.         0.1        0.11111111 0.3       ]"
55,10.0,1.0,1.0,0.19,"[0.5        0.63636364 0.         0.11111111 0.18181818 0.
 0.1        0.18181818 0.         0.        ]","[0.6        0.7        0.         0.11111111 0.2        0.
 0.1        0.18181818 0.         0.        ]"
56,10.0,1.0,2.0,0.26,"[0.35294118 0.625      0.18181818 0.21428571 0.1        0.
 0.         0.22222222 0.         0.        ]","[0.6        1.         0.33333333 0.33333333 0.1        0.
 0.         0.18181818 0.         0.        ]"
57,10.0,1.0,3.0,0.27,"[0.38888889 0.64285714 0.18181818 0.1875     0.125      0.
 0.         0.28571429 0.16666667 0.        ]","[0.7        0.9        0.33333333 0.33333333 0.1        0.
 0.         0.18181818 0.11111111 0.        ]"
58,10.0,1.0,5.0,0.26,"[0.42105263 0.69230769 0.22222222 0.11111111 0.         0.
 0.22222222 0.14285714 0.2        0.        ]","[0.8        0.9        0.33333333 0.11111111 0.         0.
 0.2        0.09090909 0.11111111 0.        ]"
59,10.0,1.0,8.0,0.25,"[0.38095238 0.69230769 0.17647059 0.2        0.         0.
 0.         0.25       0.         0.14285714]","[0.8        0.9        0.25       0.22222222 0.         0.
 0.         0.18181818 0.         0.1       ]"
60,10.0,1.0,13.0,0.28,"[0.42105263 0.76923077 0.2        0.15384615 0.         0.
 0.16666667 0.25       0.         0.16666667]","[0.8        1.         0.33333333 0.22222222 0.         0.
 0.1        0.18181818 0.         0.1       ]"
61,10.0,1.0,21.0,0.29,"[0.45       0.75       0.21052632 0.09090909 0.         0.
 0.11111111 0.2        0.33333333 0.25      ]","[0.9        0.9        0.33333333 0.11111111 0.         0.
 0.1        0.18181818 0.22222222 0.1       ]"
62,10.0,1.0,34.0,0.3,"[0.5        0.69230769 0.22727273 0.08333333 0.08333333 0.
 0.11111111 0.4        0.5        0.2       ]","[0.9        0.9        0.41666667 0.11111111 0.1        0.
 0.1        0.18181818 0.11111111 0.1       ]"
63,10.0,1.0,55.0,0.29,"[0.5625     0.75       0.27777778 0.         0.         0.
 0.08333333 0.3        0.25       0.11111111]","[0.9        0.9        0.41666667 0.         0.         0.
 0.1        0.27272727 0.11111111 0.1       ]"
64,10.0,1.0,89.0,0.28,"[0.45       0.75       0.22222222 0.         0.06666667 0.
 0.2        0.375      0.         0.07692308]","[0.9        0.9        0.33333333 0.         0.1        0.
 0.1        0.27272727 0.         0.1       ]"
65,10.0,1.0,144.0,0.26,"[0.5625     0.64285714 0.20833333 0.         0.         0.
 0.         0.16666667 0.14285714 0.08333333]","[0.9        0.9        0.41666667 0.         0.         0.
 0.         0.09090909 0.11111111 0.1       ]"
66,10.0,1.0,1.0,0.21,"[0.8        0.6        0.06666667 0.11111111 0.25       0.
 0.         0.25       0.1        0.15384615]","[0.72727273 0.33333333 0.08333333 0.11111111 0.3        0.
 0.         0.18181818 0.11111111 0.2       ]"
67,10.0,1.0,2.0,0.23,"[0.69230769 0.44444444 0.07142857 0.08333333 0.23076923 0.11111111
 0.         0.375      0.         0.        ]","[0.81818182 0.44444444 0.16666667 0.11111111 0.3        0.11111111
 0.         0.27272727 0.         0.        ]"
68,10.0,1.0,3.0,0.28,"[0.52941176 0.75       0.03703704 0.0625     0.41666667 0.66666667
 0.         0.5        0.2        0.        ]","[0.81818182 0.66666667 0.08333333 0.11111111 0.5        0.22222222
 0.         0.27272727 0.11111111 0.        ]"
69,10.0,1.0,5.0,0.24,"[0.47058824 0.71428571 0.17391304 0.         0.33333333 0.
 0.         0.25       0.16666667 0.1       ]","[0.72727273 0.55555556 0.33333333 0.         0.2        0.
 0.         0.27272727 0.11111111 0.1       ]"
70,10.0,1.0,8.0,0.19,"[0.46666667 0.5        0.09090909 0.         0.14285714 0.
 0.         0.30769231 0.125      0.14285714]","[0.63636364 0.33333333 0.16666667 0.         0.1        0.
 0.         0.36363636 0.11111111 0.1       ]"
71,10.0,1.0,13.0,0.26,"[0.58333333 0.75       0.15789474 0.         0.3        0.
 0.14285714 0.33333333 0.14285714 0.1       ]","[0.63636364 0.66666667 0.25       0.         0.3        0.
 0.1        0.36363636 0.11111111 0.1       ]"
72,10.0,1.0,21.0,0.31,"[0.53333333 0.66666667 0.17391304 0.         0.57142857 0.33333333
 0.5        0.33333333 0.125      0.125     ]","[0.72727273 0.66666667 0.33333333 0.         0.4        0.11111111
 0.1        0.45454545 0.11111111 0.1       ]"
73,10.0,1.0,34.0,0.22,"[0.58333333 0.66666667 0.16       0.         0.14285714 0.
 0.25       0.21428571 0.         0.        ]","[0.63636364 0.66666667 0.33333333 0.         0.1        0.
 0.1        0.27272727 0.         0.        ]"
74,10.0,1.0,55.0,0.26,"[0.58333333 0.66666667 0.16666667 0.         0.33333333 1.
 0.         0.28571429 0.09090909 0.14285714]","[0.63636364 0.66666667 0.41666667 0.         0.1        0.11111111
 0.         0.36363636 0.11111111 0.1       ]"
75,10.0,1.0,89.0,0.32,"[0.58333333 0.66666667 0.22222222 0.         0.375      0.
 0.         0.30769231 0.2        0.26666667]","[0.63636364 0.66666667 0.5        0.         0.3        0.
 0.         0.36363636 0.22222222 0.4       ]"
76,10.0,1.0,144.0,0.29,"[0.58333333 0.66666667 0.13793103 0.33333333 0.30769231 0.
 0.         0.26666667 0.25       0.13333333]","[0.63636364 0.66666667 0.33333333 0.11111111 0.4        0.
 0.         0.36363636 0.11111111 0.2       ]"
77,10.0,1.0,1.0,0.21,"[0.66666667 0.625      0.2        0.14285714 0.         0.11111111
 0.23529412 0.15789474 0.         0.3       ]","[0.18181818 0.55555556 0.16666667 0.11111111 0.         0.11111111
 0.4        0.27272727 0.         0.3       ]"
78,10.0,1.0,2.0,0.18,"[0.44444444 0.63636364 0.1        0.         0.0625     0.
 0.27272727 0.125      0.         0.        ]","[0.36363636 0.77777778 0.16666667 0.         0.1        0.
 0.3        0.09090909 0.         0.        ]"
79,10.0,1.0,3.0,0.17,"[0.41666667 0.63636364 0.09090909 0.         0.0625     0.
 0.         0.16666667 0.         0.25      ]","[0.45454545 0.77777778 0.16666667 0.         0.1        0.
 0.         0.09090909 0.         0.1       ]"
80,10.0,1.0,5.0,0.17,"[0.45454545 0.54545455 0.04       0.         0.08333333 0.16666667
 0.         0.11111111 0.         0.28571429]","[0.45454545 0.66666667 0.08333333 0.         0.1        0.11111111
 0.         0.09090909 0.         0.2       ]"
81,10.0,1.0,8.0,0.2,"[0.5        0.46666667 0.04545455 0.         0.17647059 0.125
 0.         0.25       0.         0.25      ]","[0.36363636 0.77777778 0.08333333 0.         0.3        0.11111111
 0.         0.18181818 0.         0.2       ]"
82,10.0,1.0,13.0,0.23,"[0.5        0.63636364 0.04545455 0.125      0.09090909 0.2
 0.16666667 0.42857143 0.2        0.16666667]","[0.36363636 0.77777778 0.08333333 0.11111111 0.1        0.22222222
 0.1        0.27272727 0.11111111 0.2       ]"
83,10.0,1.0,21.0,0.24,"[0.5        0.7        0.14285714 0.09090909 0.09090909 0.
 0.33333333 0.6        0.25       0.07142857]","[0.45454545 0.77777778 0.33333333 0.11111111 0.1        0.
 0.1        0.27272727 0.11111111 0.1       ]"
84,10.0,1.0,34.0,0.26,"[0.5        0.63636364 0.20833333 0.14285714 0.07142857 0.
 0.         0.28571429 0.2        0.17647059]","[0.54545455 0.77777778 0.41666667 0.11111111 0.1        0.
 0.         0.18181818 0.11111111 0.3       ]"
85,10.0,1.0,55.0,0.28,"[0.45454545 0.63636364 0.15384615 0.         0.07692308 0.
 0.         0.54545455 0.2        0.25      ]","[0.45454545 0.77777778 0.33333333 0.         0.1        0.
 0.         0.54545455 0.22222222 0.3       ]"
86,10.0,1.0,89.0,0.22,"[0.45454545 0.7        0.13043478 0.25       0.0625     0.
 0.         0.16666667 0.16666667 0.11764706]","[0.45454545 0.77777778 0.25       0.11111111 0.1        0.
 0.         0.18181818 0.11111111 0.2       ]"
87,10.0,1.0,144.0,0.22,"[0.5        0.63636364 0.0952381  0.5        0.07142857 0.
 0.         0.13333333 0.16666667 0.14285714]","[0.45454545 0.77777778 0.16666667 0.11111111 0.1        0.
 0.         0.18181818 0.11111111 0.3       ]"
88,10.0,1.0,1.0,0.21,"[0.5625     0.83333333 0.2        0.25       0.11764706 0.1
 0.         0.09090909 0.         0.        ]","[0.81818182 0.55555556 0.16666667 0.11111111 0.2        0.11111111
 0.         0.09090909 0.         0.        ]"
89,10.0,1.0,2.0,0.32,"[0.55555556 0.8        0.3        0.42857143 0.11538462 0.5
 0.         0.         0.         0.        ]","[0.90909091 0.88888889 0.5        0.33333333 0.3        0.22222222
 0.         0.         0.         0.        ]"
90,10.0,1.0,3.0,0.33,"[0.52631579 0.77777778 0.29166667 0.23076923 0.1875     0.5
 0.14285714 0.2        0.         0.        ]","[0.90909091 0.77777778 0.58333333 0.33333333 0.3        0.11111111
 0.1        0.09090909 0.         0.        ]"
91,10.0,1.0,5.0,0.31,"[0.52380952 0.6        0.18181818 0.6        0.13333333 0.33333333
 0.         0.33333333 0.14285714 0.        ]","[1.         0.66666667 0.33333333 0.33333333 0.2        0.11111111
 0.         0.27272727 0.11111111 0.        ]"
92,10.0,1.0,8.0,0.31,"[0.61111111 0.66666667 0.17647059 0.08333333 0.1875     0.25
 0.         0.36363636 0.2        0.14285714]","[1.         0.66666667 0.25       0.11111111 0.3        0.11111111
 0.         0.36363636 0.11111111 0.1       ]"
93,10.0,1.0,13.0,0.31,"[0.6875     0.75       0.15384615 0.         0.17647059 0.2
 0.25       0.27272727 0.33333333 0.2       ]","[1.         0.66666667 0.16666667 0.         0.3        0.11111111
 0.1        0.27272727 0.33333333 0.1       ]"
94,10.0,1.0,21.0,0.32,"[0.61111111 0.77777778 0.15384615 0.22222222 0.18181818 0.
 0.33333333 0.25       0.13333333 0.27272727]","[1.         0.77777778 0.16666667 0.22222222 0.2        0.
 0.1        0.18181818 0.22222222 0.3       ]"
95,10.0,1.0,34.0,0.32,"[0.61111111 0.72727273 0.21428571 0.         0.1        0.
 0.33333333 0.28571429 0.13333333 0.25      ]","[1.         0.88888889 0.25       0.         0.1        0.
 0.2        0.18181818 0.22222222 0.3       ]"
96,10.0,1.0,55.0,0.38,"[0.61111111 0.8        0.3125     0.         0.55555556 0.33333333
 0.2        0.36363636 0.2        0.13333333]","[1.         0.88888889 0.41666667 0.         0.5        0.11111111
 0.1        0.36363636 0.11111111 0.2       ]"
97,10.0,1.0,89.0,0.35,"[0.61111111 0.8        0.35714286 0.         0.3        0.
 0.16666667 0.28571429 0.27272727 0.        ]","[1.         0.88888889 0.41666667 0.         0.3        0.
 0.1        0.36363636 0.33333333 0.        ]"
98,10.0,1.0,144.0,0.37,"[0.64705882 0.72727273 0.25       0.         0.28571429 0.
 0.66666667 0.28571429 0.2        0.2       ]","[1.         0.88888889 0.33333333 0.         0.6        0.
 0.2        0.18181818 0.22222222 0.2       ]"
99,10.0,1.0,1.0,0.24,"[0.5        0.57142857 0.3        0.         0.06666667 0.
 0.22222222 0.33333333 0.30769231 0.2       ]","[0.36363636 0.44444444 0.23076923 0.         0.1        0.
 0.2        0.36363636 0.4        0.22222222]"
100,10.0,1.0,2.0,0.21,"[0.41666667 0.4        0.1875     0.         0.125      0.
 0.33333333 0.16666667 0.33333333 1.        ]","[0.45454545 0.44444444 0.23076923 0.         0.2        0.
 0.2        0.18181818 0.2        0.11111111]"
101,10.0,1.0,3.0,0.23,"[0.28571429 0.6        0.22222222 0.         0.14285714 0.
 0.33333333 0.2        0.4        0.28571429]","[0.36363636 0.66666667 0.30769231 0.         0.2        0.
 0.2        0.09090909 0.2        0.22222222]"
102,10.0,1.0,5.0,0.24,"[0.38461538 0.66666667 0.25       0.07142857 0.18181818 0.
 0.         0.14285714 0.375      0.33333333]","[0.45454545 0.66666667 0.23076923 0.11111111 0.2        0.
 0.         0.09090909 0.3        0.33333333]"
103,10.0,1.0,8.0,0.24,"[0.38461538 0.66666667 0.11111111 0.07142857 0.11111111 0.
 0.         0.33333333 0.5        0.375     ]","[0.45454545 0.66666667 0.15384615 0.11111111 0.1        0.
 0.         0.27272727 0.3        0.33333333]"
104,10.0,1.0,13.0,0.22,"[0.41666667 0.66666667 0.11111111 0.1        0.08333333 0.
 0.         0.2        0.22222222 0.375     ]","[0.45454545 0.66666667 0.15384615 0.11111111 0.1        0.
 0.         0.18181818 0.2        0.33333333]"
105,10.0,1.0,21.0,0.27,"[0.41666667 0.71428571 0.33333333 0.         0.125      0.
 0.66666667 0.18181818 0.14285714 0.3       ]","[0.45454545 0.55555556 0.53846154 0.         0.2        0.
 0.2        0.18181818 0.1        0.33333333]"
106,10.0,1.0,34.0,0.28,"[0.46153846 0.75       0.26086957 0.14285714 0.13333333 0.
 0.         0.2        0.16666667 0.26666667]","[0.54545455 0.66666667 0.46153846 0.11111111 0.2        0.
 0.         0.18181818 0.1        0.44444444]"
107,10.0,1.0,55.0,0.26,"[0.5        0.75       0.23809524 0.1        0.06666667 0.
 0.         0.23076923 0.14285714 0.2       ]","[0.63636364 0.66666667 0.38461538 0.11111111 0.1        0.
 0.         0.27272727 0.1        0.22222222]"
108,10.0,1.0,89.0,0.24,"[0.41666667 0.75       0.23076923 0.         0.08333333 0.
 0.         0.2        0.14285714 0.22222222]","[0.45454545 0.66666667 0.46153846 0.         0.2        0.
 0.         0.18181818 0.1        0.22222222]"
109,10.0,1.0,144.0,0.21,"[0.41666667 0.6        0.10714286 0.         0.10526316 0.
 0.16666667 0.11111111 0.14285714 0.25      ]","[0.45454545 0.66666667 0.23076923 0.         0.2        0.
 0.1        0.09090909 0.1        0.22222222]"
110,10.0,2.0,1.0,0.33,"[0.66666667 0.9        0.25       0.3        0.23076923 0.33333333
 0.09090909 0.3        0.13333333 0.25      ]","[0.54545455 0.9        0.15384615 0.33333333 0.3        0.22222222
 0.11111111 0.3        0.2        0.22222222]"
111,10.0,2.0,2.0,0.38,"[0.6        0.64285714 0.2        0.4        0.31578947 0.16666667
 0.125      0.5        0.25       0.5       ]","[0.54545455 0.9        0.23076923 0.44444444 0.6        0.11111111
 0.11111111 0.5        0.1        0.22222222]"
112,10.0,2.0,3.0,0.45,"[0.53333333 0.75       0.28571429 0.41666667 0.5        0.33333333
 0.2        0.5        0.33333333 0.375     ]","[0.72727273 0.9        0.30769231 0.55555556 0.7        0.22222222
 0.11111111 0.4        0.2        0.33333333]"
113,10.0,2.0,5.0,0.4,"[0.69230769 0.75       0.27272727 0.25       0.35       0.5
 0.14285714 0.25       0.36363636 0.16666667]","[0.81818182 0.9        0.23076923 0.22222222 0.7        0.22222222
 0.11111111 0.2        0.4        0.11111111]"
